-13, -1028, 130
1, -1015, 142
5, -981, 126
-8, -999, 89
-6, -997, 106
13, -1006, 134
13, -1006, 134
24, -1012, 141
0, -1003, 134
-2, -993, 123
-5, -1005, 133
0, -1000, 138
-12, -986, 124
12, -989, 116
12, -989, 116
16, -1021, 124
21, -1060, 142
35, -1104, 118
27, -1178, 95
7, -1345, 131
-72, -1542, 201
-72, -1542, 201
-76, -1695, 269
-41, -1723, 265
-8, -1723, 198
-20, -1731, 114
-43, -1777, 207
19, -1727, 295
31, -1583, 273
47, -1404, 301
64, -1095, 176
-43, -730, 12
-43, -730, 12
-110, -374, -131
-83, -238, -147
35, -227, -12
-,-,-
-9, -1007, 131
16, -1014, 138
10, -1041, 164
15, -1037, 149
19, -1028, 139
8, -1029, 136
2, -1025, 149
2, -1025, 149
15, -1018, 154
0, -986, 132
-5, -983, 119
-1, -1001, 149
1, -1002, 157
1, -1002, 157
0, -979, 133
-7, -977, 122
-6, -997, 140
9, -1009, 162
14, -997, 152
14, -997, 152
4, -983, 132
11, -961, 121
22, -978, 140
26, -990, 145
26, -990, 145
9, -988, 130
-1, -1007, 133
3, -1019, 137
13, -1054, 172
11, -1096, 182
-3, -1173, 200
-3, -1173, 200
-14, -1226, 191
-21, -1308, 188
-52, -1418, 196
-61, -1547, 266
-65, -1648, 330
-28, -1599, 313
16, -1444, 185
-2, -1407, 112
-49, -1437, 142
-1, -1352, 142
0, -1283, 116
0, -1283, 116
-2, -1246, 125
40, -1199, 121
-,-,-
39, -986, 185
-4, -994, 101
7, -970, 127
7, -970, 127
20, -1007, 167
5, -996, 162
-2, -972, 130
-30, -988, 142
-6, -997, 145
-6, -997, 145
28, -985, 144
25, -989, 140
1, -991, 140
-1, -1019, 161
23, -1020, 159
23, -1020, 159
45, -1018, 148
25, -1076, 123
-2, -1178, 110
0, -1326, 178
4, -1533, 272
28, -1665, 332
-1, -1676, 308
-1, -1676, 308
-31, -1646, 241
-9, -1598, 194
15, -1571, 199
54, -1484, 241
67, -1346, 259
27, -1163, 209
-42, -943, 59
-29, -788, -49
-29, -788, -49
-6, -758, -52
-24, -727, -53
-88, -706, -43
-105, -678, -59
-122, -576, -151
-113, -536, -175
-61, -466, -240
48, -425, -274
148, -447, -272
187, -471, -263
174, -486, -389
-,-,-
38, -1054, 158
-40, -998, 166
4, -989, 175
-17, -1011, 168
-2, -1001, 180
-2, -1001, 180
-38, -969, 173
-53, -954, 144
-53, -962, 142
-47, -973, 151
-25, -976, 149
-6, -973, 149
-8, -979, 151
-8, -979, 151
-10, -970, 155
-15, -964, 152
-6, -942, 147
0, -914, 143
-4, -890, 133
-4, -890, 133
-10, -888, 134
-13, -944, 139
-43, -1069, 173
19, -1222, 176
59, -1473, 251
48, -1740, 266
-55, -1985, 382
-153, -1998, 446
-121, -1998, 543
-49, -1922, 488
34, -1569, 362
34, -1569, 362
37, -1248, 190
-23, -1036, 108
-47, -796, 12
-28, -609, -33
-6, -472, -85
-12, -449, -129
-61, -513, -53
-46, -480, -34
-46, -480, -34
2, -371, -121
28, -345, -195
15, -404, -212
2, -398, -220
7, -379, -282
-5, -418, -286
8, -523, -278
8, -523, -278
52, -620, -221
-,-,-
0, -1007, 120
0, -1007, 120
